БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Ульяновых, Республика Башкортостан, Россия",09.03.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.002,334.49,167 245.13
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Ульяновых, Республика Башкортостан, Россия",28.06.2024,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027630,Труба 8х2.5 20 ГОСТ 8734,Погон.метр,100.000,"4,792,862.00",47 928.62
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",15.07.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,2285865,Труба б/ш х/д к/ст 8х1 08Х12Н10Т,Тонна,0.005,757.93,151 586.49
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",20.06.2017,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,1.000,"2,269.78",2 269.78
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",11.05.2021,20,Подшипники,20-980400,Втулки к подшипникам,10464971,Втулка закрепительная H322 GBI,Штука,1.000,"2,636.39",2 636.39
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",26.04.2016,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,1.000,"1,679.81",1 679.81
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",21.04.2015,20,Подшипники,20-980400,Втулки к подшипникам,10464971,Втулка закрепительная H322 GBI,Штука,1.000,"2,834.45",2 834.45
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",31.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,2.000,"4,613.36",2 306.68
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",23.01.2015,20,Подшипники,20-980400,Втулки к подшипникам,1412683,Втулка подшипника Н 3040 SKF,Штука,4.000,"6,776.20",1 694.05
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",21.05.2017,20,Подшипники,20-980400,Втулки к подшипникам,1269432,Втулка подшипника Н 316 SKF,Штука,2.000,"3,112.20",1 556.10
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",16.10.2015,20,Подшипники,20-980400,Втулки к подшипникам,1269432,Втулка подшипника Н 316 SKF,Штука,2.000,"4,749.74",2 374.87
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",09.06.2016,20,Подшипники,20-980400,Втулки к подшипникам,10105098,Втулка стяжная AH 2313 G SKF,Штука,6.000,"9,833.88",1 638.98
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",07.04.2017,20,Подшипники,20-980400,Втулки к подшипникам,2427931,Втулка стяжная AHX 2312 FAG,Штука,2.000,"3,062.44",1 531.22
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",17.04.2023,20,Подшипники,20-980400,Втулки к подшипникам,2427931,Втулка стяжная AHX 2312 FAG,Штука,2.000,"4,225.16",2 112.58
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",08.11.2018,20,Подшипники,20-980400,Втулки к подшипникам,2427931,Втулка стяжная AHX 2312 FAG,Штука,2.000,"3,608.62",1 804.31
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",21.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,1290055,Втулка стяжная АН 3132,Штука,3.000,"4,743.84",1 581.28
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",18.05.2025,20,Подшипники,20-980400,Втулки к подшипникам,10105098,Втулка стяжная AH 2313 G SKF,Штука,3.000,"5,203.05",1 734.35
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",14.10.2021,20,Подшипники,20-980400,Втулки к подшипникам,1694375,Втулка подшипника AH 3132G SKF,Штука,4.000,"7,102.28",1 775.57
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",29.10.2015,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,2.000,"3,070.92",1 535.46
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",23.04.2020,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,2.000,"5,403.52",2 701.76
